Player,Team,Performance_Index,Nationality,National_team_,Age,Height,Weight,Foot,Matches_played_total,Minutes_played_total,Starting_lineup_appearances_total,Substitute_out_total,Substitutes_in_total,Goals_total,Assists_total,Chances_total,Chances_successful_total,Chances._%_of_conversion,Сhances_created_total,Fouls_total,Fouls_suffered_total,Offsides_total,Yellow_cards_total,Red_cards_total,Total_actions_total,Successful_actions_total,Successful_actions._%,Shots_total,Shots_on_target_total,Shots_on_target._%,Shots_wide_total,Blocked_shots_total,Shots_on_post_/_bar_total,Penalty_total,"Penalties
_scored_total",Penalty_kicks_scored._%,Passes_total,Accurate_passes_total,Accurate_passes._%,Key_passes_total,Key_passes_accurate_total,Crosses_total,Crosses_accurate_total,Accurate_crosses._%,Challenges_total,Challenges_won_total,Challenges_won._%,Defensive_challenges_total,Defensive_challenges_won_total,Challenges_in_defence_won._%,Attacking_challenges_total,Attacking_challenges_won_total,Challenges_in_attack_/_won._%,Air_challenges_total,Air_challenges_won_total,Air_challenges_won._%,Dribbles_total,Dribbles_successful_total,Successful_dribbles._%,Tackles_total,Tackles_successful_total,Tackles_won._%,Ball_interceptions_total,Free_ball_pick_ups_total,National_team_last_match_date._mm.yy,Youth_national_team_last_match_date._mm.yy,Lost_balls_total,Lost_balls_in_own_half_total,Ball_recoveries_total,Ball_recoveries_in_opponent's_half_total,xG_Expected_goals_total,Expected_assists_total,xG_per_shot_total,xG_per_goal_total,xG_conversion_total,xG_with_a_player_on_total,Opponent's_xG_with_a_player_on_total,Net_xG_xG_player_on_-_opp._team's_xG_total,Defensive_xG_xG_of_shots_made_by_guarded_player_total,Defensive_xG_per_shot_total
Gabriel,Benfica,318,Brazil. Portugal,-,27,186,82,left,8,592,7,4,1,1,-,1,1,100,3,10,13,-,2,-,749,628,84,7,2,29,1,4,-,-,-,-,528,460,87,5,3,4,1,25,126,79,63,89,55,62,37,24,65,33,25,76,20,17,85,33,17,52,39,48,-,-,40,5,53,24,0.48,0.26,0.07,0.48,2.08,13.89,5.67,8.22,0.02,0.02
Jesus Corona,Porto,312,Mexico,Mexico,27,173,62,both,13,1143,13,7,-,3,5,10,3,30,15,23,26,7,3,-,931,636,68,16,11,69,5,-,-,-,-,-,525,422,80,17,12,28,10,36,269,101,38,72,31,43,197,70,36,29,10,34,94,46,49,32,14,44,50,52,09.19,-,140,23,32,12,2.78,5.23,0.17,0.93,1.08,17.59,10.27,7.32,0.02,0.02
Diogo Leite,Porto,311,Portugal,Portugal,21,192,81,left,5,483,4,-,-,2,-,3,2,67,3,4,4,-,-,-,417,388,93,3,2,67,1,-,-,-,-,-,332,314,95,2,1,-,-,-,42,32,76,34,27,79,8,5,63,22,15,68,-,-,-,7,7,100,18,22,-,11.19,10,4,30,5,0.38,0.21,0.13,0.19,5.26,9.37,2.36,7.01,0.6,0.1
Joao Mario,Sporting CP,310,Portugal. Angola,-,27,179,67,right,4,200,2,1,2,-,-,2,-,-,6,3,3,-,-,-,207,175,85,6,1,17,3,1,1,-,-,-,131,117,89,9,6,3,2,67,37,25,68,12,9,75,25,16,64,2,-,-,11,9,82,8,6,75,6,26,10.19,-,13,6,9,4,0.45,0.92,0.08,-,-,6.26,1.22,5.04,0.04,0.02
Pedro Goncalves,Sporting CP,305,Portugal,Portugal,22,173,58,right,10,753,6,2,3,9,1,15,7,47,11,9,11,3,3,-,471,327,69,24,12,50,7,5,-,-,-,-,274,213,78,17,9,17,6,35,113,51,45,50,22,44,63,29,46,10,2,20,26,11,42,33,18,55,16,36,-,-,63,9,21,7,2.77,5.35,0.12,0.4,2.53,15.68,4.55,11.13,0.13,0.13
Pepe,Porto,305,Portugal. Brazil,Portugal,37,187,81,right,12,1108,12,1,-,1,1,4,1,25,3,8,13,1,3,-,950,852,90,7,3,43,4,-,-,-,-,-,664,606,91,2,1,-,-,-,117,84,72,92,64,70,25,20,80,52,39,75,1,1,50,23,16,70,84,73,10.19,-,27,5,105,11,1.35,0.71,0.19,1.35,0.74,17.92,10,7.92,1.22,0.08
Marko Grujic,Porto,301,Serbia,Serbia,24,191,82,right,7,327,3,1,4,1,-,4,1,25,4,8,6,-,-,-,365,313,86,10,4,40,5,1,-,-,-,-,231,211,91,3,1,1,-,-,68,43,63,36,22,61,32,21,66,24,14,58,9,8,89,19,12,63,26,29,06.18,11.15,13,1,27,10,1.06,0.54,0.11,1.06,0.94,6.19,4.35,1.84,-,-
Otavinho,Porto,301,Brazil. Portugal,-,25,172,63,right,8,712,8,6,-,2,1,5,2,40,6,16,28,-,1,-,661,493,75,11,4,36,3,4,-,-,-,-,427,346,81,12,2,10,3,30,139,64,46,65,25,38,74,39,53,24,7,29,30,24,80,33,15,45,24,55,-,-,64,17,31,12,0.59,1.76,0.05,0.3,3.39,10.77,4.98,5.79,0.04,0.02
Goncalo Matias Ramos,Benfica,300,Portugal,Portugal,19,184,-,right,6,410,4,-,2,8,2,15,8,53,7,13,10,2,-,-,271,183,68,21,11,52,5,3,2,1,1,100,128,103,80,3,3,1,1,100,83,37,45,32,14,44,51,23,45,17,13,76,13,7,54,15,5,33,11,21,-,10.19,38,8,11,4,4.67,1.04,0.22,0.58,1.71,8.93,4.71,4.22,-,-
Wilson Manafa,Porto,298,Portugal. Guinea-Bissau,-,26,177,69,right,10,883,9,3,1,-,1,1,-,-,5,13,4,-,1,-,830,678,82,3,2,67,1,-,-,-,-,-,560,479,86,9,4,15,7,47,157,95,61,67,38,57,90,57,63,24,17,71,51,37,73,26,19,73,44,59,-,-,55,10,44,11,0.16,1.54,0.05,-,-,13.4,6.37,7.03,0.1,0.05
